              Epoch:          train loss       test accuracy
                   0          0.0563              1.00
                   0          0.0362              1.00
                   0          0.0545              1.00
                   1          0.0189              1.00
                   1          0.0107              1.00
                   1          0.6931              1.00
                   2          0.0056              1.00
                   2          0.0002              1.00
                   2          0.0004              1.00
                   3          0.0408              1.00
                   3          0.0028              1.00
                   3          0.3529              1.00
                   4          0.0000              1.00
                   4          0.0012              1.00
                   4          0.0000              1.00
                   5          0.0811              1.00
                   5          0.0791              1.00
                   5          0.0041              1.00
                   6          0.0000              1.00
                   6          0.0893              1.00
                   6          0.0001              1.00
                   7          0.0088              1.00
                   7          0.0000              1.00
                   7          0.0178              1.00
                   8          0.0725              1.00
                   8          0.0041              1.00
                   8          0.0000              1.00
                   9          0.0219              1.00
                   9          0.0199              1.00
                   9          0.0000              1.00
                  10          0.0001              1.00
                  10          0.0091              1.00
                  10          0.0000              1.00
                  11          0.0000              1.00
                  11          0.0003              1.00
                  11          0.0000              1.00
                  12          0.0000              1.00
                  12          0.0000              1.00
                  12          0.0014              1.00
                  13          0.0014              1.00
                  13          0.0000              1.00
                  13          0.0000              1.00
                  14          0.7883              1.00
                  14          0.0172              1.00
                  14          0.0000              1.00
                  15          0.0148              1.00
                  15          1.2750              1.00
                  15          0.0007              1.00
                  16          0.0000              1.00
                  16          0.0001              1.00
                  16          0.0000              1.00
                  17          0.0001              1.00
                  17          0.0000              1.00
                  17          0.0052              1.00
                  18          0.0000              1.00
                  18          0.4182              1.00
                  18          0.6931              1.00
                  19          0.0000              1.00
                  19          0.0000              1.00
                  19          0.0001              1.00
