              Epoch:          train loss       test accuracy
                   0          0.6931              0.00
                   0          1.0072              0.00
                   0          0.8591              0.00
                   1          1.2202              0.50
                   1          0.8225              1.00
                   1          0.6931              0.50
                   2          0.7443              1.00
                   2          0.9099              1.00
                   2          0.6931              1.00
                   3          1.3904              1.00
                   3          0.6931              1.00
                   3          0.8358              1.00
                   4          1.3964              1.00
                   4          0.6931              1.00
                   4          0.4693              1.00
                   5          0.5560              1.00
                   5          0.6469              1.00
                   5          0.6905              1.00
                   6          0.7131              1.00
                   6          0.8870              1.00
                   6          0.5783              1.00
                   7          0.5528              1.00
                   7          0.6931              1.00
                   7          0.0326              1.00
                   8          0.6931              1.00
                   8          0.6931              1.00
                   8          0.6931              1.00
                   9          0.6931              1.00
                   9          0.6931              1.00
                   9          0.1421              1.00
                  10          0.3346              1.00
                  10          0.6931              1.00
                  10          0.6931              1.00
                  11          0.4558              1.00
                  11          0.1151              1.00
                  11          0.6931              1.00
                  12          0.0742              1.00
                  12          0.0640              1.00
                  12          0.8301              1.00
                  13          0.1132              1.00
                  13          0.6931              1.00
                  13          0.1330              1.00
                  14          0.0974              1.00
                  14          0.2817              1.00
                  14          0.1630              1.00
                  15          0.2511              1.00
                  15          0.0446              1.00
                  15          0.0321              1.00
                  16          0.0506              1.00
                  16          1.2131              1.00
                  16          0.1494              1.00
                  17          0.1539              1.00
                  17          0.1363              1.00
                  17          0.6931              1.00
                  18          1.0945              1.00
                  18          0.6931              1.00
                  18          0.6931              1.00
                  19          0.6931              1.00
                  19          0.4782              1.00
                  19          0.6931              1.00
