              Epoch:          train loss       test accuracy
                   0          0.3897              1.00
                   0          1.7190              0.50
                   0          0.8590              0.00
                   1          0.6931              1.00
                   1          0.5740              0.50
                   1          0.8354              1.00
                   2          0.4558              0.50
                   2          1.7682              1.00
                   2          0.6255              1.00
                   3          0.5248              1.00
                   3          0.1545              1.00
                   3          0.6931              1.00
                   4          0.6931              1.00
                   4          0.2679              1.00
                   4          0.3771              1.00
                   5          0.3986              1.00
                   5          0.5863              1.00
                   5          1.8344              1.00
                   6          0.6034              1.00
                   6          0.6302              1.00
                   6          2.8717              1.00
                   7          0.0607              1.00
                   7          0.4409              1.00
                   7          0.3148              1.00
                   8          0.1032              1.00
                   8          0.4155              1.00
                   8          0.6931              1.00
                   9          1.4637              1.00
                   9          0.0038              1.00
                   9          0.1333              1.00
                  10          0.2353              1.00
                  10          0.0564              1.00
                  10          0.4199              1.00
                  11          0.1141              1.00
                  11          0.3464              1.00
                  11          0.0386              1.00
                  12          0.4496              1.00
                  12          0.0194              1.00
                  12          0.8048              1.00
                  13          0.4933              1.00
                  13          0.1087              1.00
                  13          0.1907              1.00
                  14          0.3105              1.00
                  14          0.0047              1.00
                  14          0.6931              1.00
                  15          1.0365              1.00
                  15          0.5526              1.00
                  15          0.4706              1.00
                  16          0.1667              1.00
                  16          0.0540              1.00
                  16          0.0140              1.00
                  17          0.0782              1.00
                  17          0.0257              1.00
                  17          0.0439              1.00
                  18          0.0415              1.00
                  18          0.2374              1.00
                  18          0.3980              1.00
                  19          0.0567              1.00
                  19          0.0048              1.00
                  19          0.1838              1.00
