              Epoch:          train loss       test accuracy
                   0          0.4668              0.50
                   0          0.6836              0.50
                   0          0.5885              1.00
                   1          0.5529              1.00
                   1          0.6931              1.00
                   1          0.6931              1.00
                   2          0.6931              1.00
                   2          0.5699              1.00
                   2          0.6736              1.00
                   3          0.8152              1.00
                   3          0.3116              1.00
                   3          0.2063              1.00
                   4          0.5274              1.00
                   4          1.0131              1.00
                   4          0.6533              1.00
                   5          0.1823              1.00
                   5          0.2641              1.00
                   5          0.6931              1.00
                   6          0.1260              1.00
                   6          0.4426              1.00
                   6          0.1074              1.00
                   7          0.2148              1.00
                   7          0.1518              1.00
                   7          0.2522              1.00
                   8          0.0166              1.00
                   8          0.6931              1.00
                   8          0.0020              1.00
                   9          0.0078              1.00
                   9          0.6122              1.00
                   9          0.0002              1.00
                  10          0.0077              1.00
                  10          0.1521              1.00
                  10          0.0492              1.00
                  11          0.1649              1.00
                  11          0.4909              1.00
                  11          0.0176              1.00
                  12          0.3148              1.00
                  12          0.0005              1.00
                  12          0.0067              1.00
                  13          0.0787              1.00
                  13          0.0003              1.00
                  13          0.0472              1.00
                  14          0.0019              1.00
                  14          0.0001              1.00
                  14          0.0401              1.00
                  15          1.0707              1.00
                  15          0.0241              1.00
                  15          0.0001              1.00
                  16          0.2709              1.00
                  16          0.0020              1.00
                  16          0.0012              1.00
                  17          0.0831              1.00
                  17          0.0475              1.00
                  17          0.0023              1.00
                  18          0.2042              1.00
                  18          0.0501              1.00
                  18          0.0783              1.00
                  19          0.1275              1.00
                  19          0.1783              1.00
                  19          0.0003              1.00
