              Epoch:          train loss       test accuracy
                   0          0.6931              0.00
                   0          0.7374              0.50
                   0          0.0966              1.00
                   1          1.6679              1.00
                   1          2.0346              0.50
                   1          0.6931              0.50
                   2          0.3497              1.00
                   2          1.5737              1.00
                   2          1.0267              1.00
                   3          0.8275              0.50
                   3          1.1332              1.00
                   3          0.6931              1.00
                   4          0.0410              1.00
                   4          0.3639              1.00
                   4          0.1161              1.00
                   5          0.6931              1.00
                   5          0.0433              1.00
                   5          0.4249              1.00
                   6          0.6931              1.00
                   6          0.0558              1.00
                   6          0.0906              1.00
                   7          1.0862              1.00
                   7          0.0008              1.00
                   7          1.2573              1.00
                   8          0.2371              1.00
                   8          0.6240              1.00
                   8          0.6931              1.00
                   9          0.0242              1.00
                   9          1.5335              1.00
                   9          0.5255              1.00
                  10          1.3220              1.00
                  10          0.0146              1.00
                  10          0.2251              1.00
                  11          0.0983              1.00
                  11          0.0142              1.00
                  11          0.2905              1.00
                  12          0.6105              1.00
                  12          0.6931              1.00
                  12          0.3180              1.00
                  13          0.0207              1.00
                  13          0.3203              1.00
                  13          0.0063              1.00
                  14          0.0002              1.00
                  14          0.3700              1.00
                  14          0.0512              1.00
                  15          0.6931              1.00
                  15          0.4310              1.00
                  15          0.0000              1.00
                  16          0.0685              1.00
                  16          0.0020              1.00
                  16          0.0000              1.00
                  17          0.0013              1.00
                  17          0.0381              1.00
                  17          0.3053              1.00
                  18          0.1938              1.00
                  18          0.0002              1.00
                  18          0.0002              1.00
                  19          0.4283              1.00
                  19          0.0000              1.00
                  19          0.1636              1.00
