              Epoch:          train loss       test accuracy
                   0          0.0036              1.00
                   0          0.0089              1.00
                   0          0.3630              1.00
                   1          0.0938              1.00
                   1          0.0288              1.00
                   1          0.1416              1.00
                   2          0.0969              1.00
                   2          0.1798              1.00
                   2          0.1985              1.00
                   3          0.0365              1.00
                   3          0.0784              1.00
                   3          0.0114              1.00
                   4          0.0037              1.00
                   4          0.0028              1.00
                   4          0.3834              1.00
                   5          0.0000              1.00
                   5          0.0033              1.00
                   5          0.0000              1.00
                   6          0.0114              1.00
                   6          0.0102              1.00
                   6          0.0059              1.00
                   7          0.1153              1.00
                   7          0.0000              1.00
                   7          0.0009              1.00
                   8          1.5278              1.00
                   8          0.0223              1.00
                   8          0.0000              1.00
                   9          0.6788              1.00
                   9          0.0021              1.00
                   9          0.0000              1.00
                  10          0.0009              1.00
                  10          0.0001              1.00
                  10          0.0006              1.00
                  11          0.6931              1.00
                  11          0.0002              1.00
                  11          0.0000              1.00
                  12          0.0143              1.00
                  12          0.2288              1.00
                  12          0.0018              1.00
                  13          0.0011              1.00
                  13          0.0002              1.00
                  13          0.2659              1.00
                  14          0.0000              1.00
                  14          0.0000              1.00
                  14          0.0030              1.00
                  15          0.0015              1.00
                  15          0.0226              1.00
                  15          0.0001              1.00
                  16          0.0007              1.00
                  16          0.0000              1.00
                  16          0.0000              1.00
                  17          0.0000              1.00
                  17          0.0000              1.00
                  17          0.0000              1.00
                  18          0.0038              1.00
                  18          0.0000              1.00
                  18          0.0016              1.00
                  19          0.0000              1.00
                  19          0.0017              1.00
                  19          0.0001              1.00
