              Epoch:          train loss       test accuracy
                   0          0.73528975                 0.0
                   0           0.6931472                 0.5
                   0           0.8648593                 1.0
                   1          0.91413647                 1.0
                   1           0.8779411                 0.5
                   1           0.6931472                 1.0
                   2           0.6931472                 1.0
                   2           0.6931472                 1.0
                   2           0.7370188                 1.0
                   3           0.5636849                 1.0
                   3           0.5346235                 1.0
                   3          0.55721647                 1.0
                   4           0.6931472                 1.0
                   4          0.34454796                 1.0
                   4           0.6643308                 1.0
                   5          0.74291843                 1.0
                   5          0.66044605                 1.0
                   5           0.3880427                 1.0
                   6           0.6931472                 1.0
                   6          0.40625477                 1.0
                   6           0.6931472                 1.0
                   7           0.6931472                 1.0
                   7          0.48755342                 1.0
                   7           0.7000029                 1.0
                   8          0.37362075                 1.0
                   8            0.269516                 1.0
                   8           0.4891384                 1.0
                   9          0.12298091                 1.0
                   9          0.12662823                 1.0
                   9          0.46271905                 1.0
                  10           0.6666841                 1.0
                  10          0.49475345                 1.0
                  10          0.44678122                 1.0
                  11          0.16429843                 1.0
                  11          0.64281666                 1.0
                  11          0.15773958                 1.0
                  12         0.050151356                 1.0
                  12           0.6931472                 1.0
                  12         0.040040363                 1.0
                  13           0.6537103                 1.0
                  13         0.062018033                 1.0
                  13          0.22036317                 1.0
                  14          0.08229129                 1.0
                  14          0.08509113                 1.0
                  14          0.22056541                 1.0
                  15          0.04326229                 1.0
                  15          0.07419713                 1.0
                  15           0.6493098                 1.0
                  16        0.0036062463                 1.0
                  16          0.34124485                 1.0
                  16          0.16170153                 1.0
                  17         0.035489004                 1.0
                  17          0.06903379                 1.0
                  17           0.6931472                 1.0
                  18          0.56294644                 1.0
                  18          0.06397269                 1.0
                  18         0.009998476                 1.0
                  19          0.26328924                 1.0
                  19          0.06690138                 1.0
                  19          0.11785774                 1.0
